level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	640	-1	
2	1	1	0	0	0	7	7	626	2	-1	
3	1	1	1	0	0	7	7	626	2	-1	
4	1	1	1	1	0	7	7	626	2	-1	
5	1	1	1	1	1	7	7	626	2	95.000000	 
2	1	2	0	0	0	16	16	228	19	-1	
3	1	2	1	0	0	16	16	228	19	-1	
4	1	2	1	1	0	16	16	228	19	-1	
5	1	2	1	1	1	16	17	18	14	96.379608	A:
5	1	2	1	1	2	41	16	66	15	96.530464	Texture
5	1	2	1	1	3	113	16	49	15	96.453926	Color
5	1	2	1	1	4	168	16	76	19	96.274620	Mapping
2	1	3	0	0	0	22	36	447	139	-1	
3	1	3	1	0	0	22	36	447	139	-1	
4	1	3	1	1	0	22	36	447	139	-1	
5	1	3	1	1	1	22	36	447	139	95.000000	 
2	1	4	0	0	0	31	167	247	44	-1	
3	1	4	1	0	0	31	167	247	44	-1	
4	1	4	1	1	0	31	167	247	29	-1	
5	1	4	1	1	1	31	167	94	29	96.154373	Photogrammetry
5	1	4	1	1	2	186	177	42	14	82.122658	Aligned
5	1	4	1	1	3	232	178	46	10	89.366997	textures
4	1	4	1	2	0	57	180	215	29	-1	
5	1	4	1	2	1	57	180	42	29	93.753815	dataset
5	1	4	1	2	2	192	191	23	10	38.794918	(tom
5	1	4	1	2	3	218	191	36	8	80.313782	<IMAGE
5	1	4	1	2	4	258	191	14	10	65.703178	0>)
4	1	4	1	3	0	38	202	80	9	-1	
5	1	4	1	3	1	38	202	22	9	73.871887	(tom
5	1	4	1	3	2	64	202	37	8	0.000000	IMAGE
5	1	4	1	3	3	104	202	14	9	80.108315	0>)
2	1	5	0	0	0	333	145	273	23	-1	
3	1	5	1	0	0	333	145	273	23	-1	
4	1	5	1	1	0	333	145	93	10	-1	
5	1	5	1	1	1	333	145	8	10	85.322289	A
5	1	5	1	1	2	374	145	13	10	83.511734	ed
5	1	5	1	1	3	392	145	34	10	93.720772	Model
4	1	5	1	2	0	340	147	266	21	-1	
5	1	5	1	2	1	340	147	62	21	60.978142	Averaged
5	1	5	1	2	2	405	158	14	10	72.748703	Mode
5	1	5	1	2	3	487	148	31	11	93.576691	Color
5	1	5	1	2	4	523	148	47	14	84.518921	Mapped
5	1	5	1	2	5	575	148	31	11	92.365166	Mesh
2	1	6	0	0	0	7	214	626	2	-1	
3	1	6	1	0	0	7	214	626	2	-1	
4	1	6	1	1	0	7	214	626	2	-1	
5	1	6	1	1	1	7	214	626	2	95.000000	 
2	1	7	0	0	0	58	219	494	11	-1	
3	1	7	1	0	0	58	219	494	11	-1	
4	1	7	1	1	0	58	219	494	11	-1	
5	1	7	1	1	1	58	219	494	11	95.000000	 
2	1	8	0	0	0	17	236	374	20	-1	
3	1	8	1	0	0	17	236	374	20	-1	
4	1	8	1	1	0	17	236	374	20	-1	
5	1	8	1	1	1	17	237	17	14	90.877022	B:
5	1	8	1	1	2	42	237	119	15	93.028412	Multi-Recolor
5	1	8	1	1	3	167	236	224	20	92.389030	(Clustering/Quantization)
2	1	9	0	0	0	101	405	285	20	-1	
3	1	9	1	0	0	101	405	285	20	-1	
4	1	9	1	1	0	101	405	285	20	-1	
5	1	9	1	1	1	101	405	285	20	95.000000	 
2	1	10	0	0	0	363	314	1	86	-1	
3	1	10	1	0	0	363	314	1	86	-1	
4	1	10	1	1	0	363	314	1	86	-1	
5	1	10	1	1	1	363	314	1	86	95.000000	 
2	1	11	0	0	0	156	269	464	142	-1	
3	1	11	1	0	0	130	269	490	132	-1	
4	1	11	1	1	0	192	269	104	11	-1	
5	1	11	1	1	1	192	269	49	11	96.666367	Recolor
5	1	11	1	1	2	245	269	51	11	83.445992	Process
4	1	11	1	2	0	176	295	138	14	-1	
5	1	11	1	2	1	176	295	138	14	21.936483	Clustering/Quantization
4	1	11	1	3	0	229	314	134	20	-1	
5	1	11	1	3	1	229	319	37	11	21.167454	—-
5	1	11	1	3	2	273	314	90	20	67.991615	EEE
4	1	11	1	4	0	156	303	464	75	-1	
5	1	11	1	4	1	156	322	40	34	83.518097	Original
5	1	11	1	4	2	292	337	53	10	33.709221	Quanized
5	1	11	1	4	3	364	322	15	34	33.709221	|
5	1	11	1	4	4	384	333	59	15	19.930782	-—>
5	1	11	1	4	5	447	303	173	75	24.392170	a=
4	1	11	1	5	0	255	357	108	27	-1	
5	1	11	1	5	1	255	373	6	11	64.125603	,_
5	1	11	1	5	2	273	357	90	20	40.566048	nn
4	1	11	1	6	0	269	375	320	36	-1	
5	1	11	1	6	1	269	375	94	36	41.523651	=a
5	1	11	1	6	2	482	383	60	12	54.208748	Quantized
5	1	11	1	6	3	546	384	43	11	95.778732	Texture
2	1	12	0	0	0	7	429	626	2	-1	
